PSLV-C 52 sens11=Cylinder(P+) HSCTYHFPP
ITI ITER IMA IKHS NCO IAXI IPA ICAR ITHN KEL ITAB ISHK INV,IGM,IT,CON,ITR,IAI,IFR,IRA
1 	0     1    0   6   1    1    0    0   1   1    2    2   3   0  1   1   0   0 0
RADIUS, ANGLE, LENGTH OF EACH COMPONENT
0.7       20.0      2.589     0.0       0.0       4.5000    0.0       -15.0 
0.7500    0.0       0.0       11.5176   0.0       3.644     1.5702    0.0 
0.0       23.0
RETR   RETS ALAMDA ALFA  DUM   QINS  RC   GIN
1.0e+116  0.0  0.0   0.0   0.00  0.00  0.7  1.4
NT
12501
    TIME          ALT                RV                Mach       dynp             alpha     qalpha         
              0.000      23.8      0.00     0.000       0.0      0.00      0.00
	      0.020      23.8      3.27     0.009       6.2     90.00      9.79
	      0.040      23.8      3.27     0.009       6.2     90.00      9.79
	      0.060      23.8      3.27     0.009       6.2     90.00      9.79
	      0.080      23.8      3.27     0.009       6.2     90.00      9.79
	      0.100      23.8      3.27     0.009       6.2     90.00      9.79
	      0.120      23.8      3.27     0.009       6.2     90.00      9.79
	      0.140      23.8      3.27     0.009       6.2     90.00      9.79
	      0.160      23.8      3.27     0.009       6.2     90.00      9.79
	      0.180      23.8      3.27     0.009       6.2     90.00      9.79
	      0.200      23.8      3.27     0.009       6.2     90.00      9.79
	      0.220      23.8      3.27     0.009       6.2     90.00      9.79
	      0.240      23.8      3.27     0.009       6.2     90.00      9.79
	      0.260      23.8      3.27     0.009       6.2     90.00      9.79
	      0.280      23.8      3.27     0.009       6.2     90.00      9.79
	      0.300      23.8      3.27     0.009       6.2     90.00      9.79
	      0.320      23.8      3.27     0.009       6.2     90.00      9.79
	      0.340      23.8      3.27     0.009       6.2     90.00      9.79
	      0.360      23.8      3.27     0.009       6.2     90.00      9.79
	      0.380      23.8      3.27     0.009       6.2     90.00      9.79
	      0.400      23.8      3.27     0.009       6.2     90.00      9.79
	      0.420      23.8      3.27     0.009       6.2     89.96      9.78
	      0.440      23.8      3.27     0.009       6.2     89.80      9.77
	      0.460      23.8      3.27     0.009       6.2     89.56      9.74
	      0.480      23.8      3.27     0.009       6.2     89.25      9.71
	      0.500      23.8      3.27     0.009       6.2     88.85      9.67
	      0.520      23.8      3.27     0.009       6.2     88.42      9.62
	      0.540      23.8      3.27     0.009       6.2     87.95      9.57
	      0.560      23.8      3.27     0.009       6.2     87.45      9.53
	      0.580      23.8      3.27     0.009       6.2     86.94      9.48
	      0.600      23.9      3.27     0.009       6.3     86.37      9.43
	      0.620      23.9      3.28     0.009       6.3     85.83      9.38
	      0.640      23.9      3.28     0.009       6.3     85.26      9.33
	      0.660      23.9      3.28     0.009       6.3     84.61      9.28
	      0.680      23.9      3.29     0.009       6.3     83.78      9.22
	      0.700      23.9      3.29     0.009       6.3     82.75      9.14
	      0.720      23.9      3.30     0.010       6.4     81.56      9.06
	      0.740      23.9      3.32     0.010       6.4     80.22      8.98
	      0.760      23.9      3.33     0.010       6.5     78.81      8.90
	      0.780      23.9      3.35     0.010       6.5     77.39      8.83
	      0.800      23.9      3.37     0.010       6.6     75.93      8.77
	      0.820      24.0      3.39     0.010       6.7     74.51      8.72
	      0.840      24.0      3.42     0.010       6.8     73.10      8.68
	      0.860      24.0      3.44     0.010       6.9     71.64      8.65
	      0.880      24.0      3.48     0.010       7.0     70.07      8.62
	      0.900      24.1      3.52     0.010       7.2     68.35      8.60
	      0.920      24.1      3.56     0.010       7.4     66.53      8.60
	      0.940      24.1      3.62     0.010       7.6     64.65      8.61
	      0.960      24.1      3.68     0.011       7.9     62.76      8.64
	      0.980      24.2      3.74     0.011       8.2     60.92      8.68
	      1.000      24.2      3.81     0.011       8.5     59.14      8.73
	      1.020      24.3      3.88     0.011       8.8     57.43      8.80
	      1.040      24.3      3.95     0.011       9.1     55.79      8.88
	      1.060      24.4      4.03     0.012       9.5     54.22      8.97
	      1.080      24.4      4.11     0.012       9.9     52.71      9.07
	      1.100      24.5      4.19     0.012      10.2     51.27      9.17
	      1.120      24.5      4.28     0.012      10.7     49.90      9.29
	      1.140      24.6      4.36     0.013      11.1     48.58      9.41
	      1.160      24.6      4.45     0.013      11.5     47.32      9.54
	      1.180      24.7      4.54     0.013      12.0     46.11      9.67
	      1.200      24.8      4.63     0.013      12.5     44.96      9.81
	      1.220      24.8      4.72     0.014      13.0     43.86      9.96
	      1.240      24.9      4.82     0.014      13.5     42.80     10.11
	      1.260      25.0      4.91     0.014      14.1     41.80     10.26
	      1.280      25.0      5.01     0.014      14.6     40.84     10.42
	      1.300      25.1      5.10     0.015      15.2     39.92     10.58
	      1.320      25.2      5.20     0.015      15.8     39.04     10.74
	      1.340      25.3      5.30     0.015      16.4     38.20     10.91
	      1.360      25.4      5.39     0.016      17.0     37.39     11.07
	      1.380      25.4      5.49     0.016      17.6     36.62     11.24
	      1.400      25.5      5.59     0.016      18.2     35.88     11.42
	      1.420      25.6      5.69     0.016      18.9     35.16     11.59
	      1.440      25.7      5.79     0.017      19.6     34.48     11.77
	      1.460      25.8      5.89     0.017      20.2     33.82     11.95
	      1.480      25.9      5.99     0.017      20.9     33.18     12.12
	      1.500      26.0      6.09     0.018      21.6     32.58     12.30
	      1.520      26.1      6.19     0.018      22.4     31.99     12.49
	      1.540      26.2      6.29     0.018      23.1     31.43     12.67
	      1.560      26.3      6.39     0.018      23.8     30.88     12.85
	      1.580      26.5      6.50     0.019      24.6     30.36     13.04
	      1.600      26.6      6.60     0.019      25.4     29.85     13.22
	      1.620      26.7      6.70     0.019      26.2     29.36     13.41
	      1.640      26.8      6.80     0.020      27.0     28.88     13.60
	      1.660      26.9      6.91     0.020      27.8     28.41     13.79
	      1.680      27.0      7.01     0.020      28.6     27.96     13.98
	      1.700      27.2      7.11     0.020      29.5     27.52     14.18
	      1.720      27.3      7.22     0.021      30.4     27.10     14.37
	      1.740      27.4      7.33     0.021      31.3     26.68     14.57
	      1.760      27.6      7.43     0.021      32.2     26.28     14.77
	      1.780      27.7      7.54     0.022      33.1     25.89     14.97
	      1.800      27.8      7.65     0.022      34.1     25.50     15.17
	      1.820      28.0      7.75     0.022      35.0     25.13     15.37
	      1.840      28.1      7.86     0.023      36.0     24.77     15.58
	      1.860      28.3      7.97     0.023      37.0     24.42     15.78
	      1.880      28.4      8.08     0.023      38.0     24.08     15.99
	      1.900      28.6      8.19     0.024      39.1     23.74     16.20
	      1.920      28.7      8.30     0.024      40.1     23.42     16.40
	      1.940      28.9      8.41     0.024      41.2     23.10     16.61
	      1.960      29.0      8.52     0.025      42.3     22.79     16.83
	      1.980      29.2      8.63     0.025      43.4     22.49     17.04
	      2.000      29.3      8.74     0.025      44.5     22.19     17.25
	      2.020      29.5      8.85     0.025      45.7     21.91     17.47
	      2.040      29.7      8.96     0.026      46.8     21.63     17.68
	      2.060      29.8      9.08     0.026      48.0     21.35     17.90
	      2.080      30.0      9.19     0.026      49.2     21.08     18.12
	      2.100      30.2      9.30     0.027      50.5     20.82     18.34
	      2.120      30.4      9.42     0.027      51.7     20.57     18.56
	      2.140      30.5      9.53     0.027      52.9     20.32     18.78
	      2.160      30.7      9.64     0.028      54.2     20.08     19.00
	      2.180      30.9      9.76     0.028      55.5     19.84     19.22
	      2.200      31.1      9.87     0.028      56.8     19.61     19.45
	      2.220      31.3      9.99     0.029      58.2     19.38     19.67
	      2.240      31.5     10.10     0.029      59.5     19.16     19.90
	      2.260      31.7     10.22     0.029      60.9     18.94     20.12
	      2.280      31.9     10.34     0.030      62.3     18.73     20.35
	      2.300      32.1     10.45     0.030      63.7     18.52     20.58
	      2.320      32.3     10.57     0.030      65.1     18.31     20.81
	      2.340      32.5     10.69     0.031      66.5     18.12     21.04
	      2.360      32.7     10.80     0.031      68.0     17.92     21.27
	      2.380      32.9     10.92     0.031      69.5     17.73     21.50
	      2.400      33.1     11.04     0.032      71.0     17.54     21.74
	      2.420      33.3     11.16     0.032      72.5     17.36     21.97
	      2.440      33.5     11.27     0.032      74.1     17.18     22.20
	      2.460      33.7     11.39     0.033      75.6     17.00     22.44
	      2.480      33.9     11.51     0.033      77.2     16.83     22.68
	      2.500      34.2     11.63     0.033      78.8     16.66     22.91
	      2.520      34.4     11.75     0.034      80.4     16.49     23.15
	      2.540      34.6     11.87     0.034      82.1     16.33     23.39
	      2.560      34.8     11.99     0.034      83.7     16.17     23.63
	      2.580      35.1     12.11     0.035      85.4     16.01     23.87
	      2.600      35.3     12.23     0.035      87.1     15.86     24.11
	      2.620      35.5     12.35     0.036      88.8     15.71     24.36
	      2.640      35.8     12.47     0.036      90.6     15.56     24.60
	      2.660      36.0     12.59     0.036      92.3     15.42     24.84
	      2.680      36.3     12.71     0.037      94.1     15.27     25.09
	      2.700      36.5     12.83     0.037      95.9     15.13     25.34
	      2.720      36.8     12.95     0.037      97.7     15.00     25.58
	      2.740      37.0     13.07     0.038      99.6     14.86     25.83
	      2.760      37.3     13.20     0.038     101.5     14.73     26.08
	      2.780      37.5     13.32     0.038     103.3     14.60     26.33
	      2.800      37.8     13.44     0.039     105.2     14.47     26.58
	      2.820      38.1     13.56     0.039     107.2     14.34     26.83
	      2.840      38.3     13.69     0.039     109.1     14.22     27.08
	      2.860      38.6     13.81     0.040     111.1     14.10     27.33
	      2.880      38.9     13.93     0.040     113.1     13.98     27.59
	      2.900      39.1     14.06     0.040     115.1     13.86     27.84
	      2.920      39.4     14.18     0.041     117.1     13.74     28.10
	      2.940      39.7     14.30     0.041     119.2     13.63     28.35
	      2.960      40.0     14.43     0.042     121.2     13.52     28.61
	      2.980      40.2     14.55     0.042     123.3     13.41     28.87
	      3.000      40.5     14.68     0.042     125.5     13.30     29.12
	      3.020      40.8     14.80     0.043     127.6     13.19     29.38
	      3.040      41.1     14.93     0.043     129.8     13.09     29.64
	      3.060      41.4     15.05     0.043     131.9     12.99     29.90
	      3.080      41.7     15.18     0.044     134.1     12.89     30.17
	      3.100      42.0     15.30     0.044     136.4     12.79     30.43
	      3.120      42.3     15.43     0.044     138.6     12.69     30.69
	      3.140      42.6     15.55     0.045     140.9     12.59     30.96
	      3.160      42.9     15.68     0.045     143.2     12.50     31.22
	      3.180      43.2     15.81     0.045     145.5     12.40     31.49
	      3.200      43.5     15.93     0.046     147.8     12.31     31.76
	      3.220      43.8     16.06     0.046     150.2     12.22     32.02
	      3.240      44.2     16.19     0.047     152.5     12.13     32.29
	      3.260      44.5     16.31     0.047     154.9     12.04     32.56
	      3.280      44.8     16.44     0.047     157.4     11.95     32.83
	      3.300      45.1     16.57     0.048     159.8     11.87     33.10
	      3.320      45.4     16.70     0.048     162.3     11.78     33.37
	      3.340      45.8     16.82     0.048     164.8     11.70     33.65
	      3.360      46.1     16.95     0.049     167.3     11.62     33.92
	      3.380      46.4     17.08     0.049     169.8     11.54     34.20
	      3.400      46.8     17.21     0.050     172.4     11.46     34.47
	      3.420      47.1     17.34     0.050     175.0     11.38     34.75
	      3.440      47.5     17.47     0.050     177.6     11.30     35.03
	      3.460      47.8     17.60     0.051     180.2     11.22     35.30
	      3.480      48.1     17.73     0.051     182.9     11.15     35.58
	      3.500      48.5     17.86     0.051     185.6     11.07     35.86
	      3.520      48.8     17.99     0.052     188.3     11.00     36.15
	      3.540      49.2     18.12     0.052     191.0     10.93     36.43
	      3.560      49.6     18.25     0.053     193.8     10.85     36.71
	      3.580      49.9     18.38     0.053     196.6     10.78     37.00
	      3.600      50.3     18.51     0.053     199.4     10.71     37.28
	      3.620      50.7     18.64     0.054     202.2     10.64     37.57
	      3.640      51.0     18.77     0.054     205.1     10.58     37.86
	      3.660      51.4     18.91     0.054     208.0     10.51     38.14
	      3.680      51.8     19.04     0.055     210.9     10.44     38.43
	      3.700      52.1     19.17     0.055     213.8     10.38     38.72
	      3.720      52.5     19.30     0.056     216.8     10.31     39.02
	      3.740      52.9     19.44     0.056     219.8     10.25     39.31
	      3.760      53.3     19.57     0.056     222.8     10.19     39.60
	      3.780      53.7     19.70     0.057     225.8     10.12     39.90
	      3.800      54.1     19.84     0.057     228.9     10.06     40.19
	      3.820      54.5     19.97     0.057     232.0     10.00     40.49
	      3.840      54.9     20.10     0.058     235.1      9.94     40.79
	      3.860      55.2     20.24     0.058     238.2      9.88     41.09
	      3.880      55.6     20.37     0.059     241.4      9.82     41.39
	      3.900      56.1     20.51     0.059     244.6      9.77     41.69
	      3.920      56.5     20.64     0.059     247.8      9.71     41.99
	      3.940      56.9     20.78     0.060     251.1      9.65     42.30
	      3.960      57.3     20.91     0.060     254.3      9.60     42.60
	      3.980      57.7     21.05     0.061     257.6      9.54     42.91
	      4.000      58.1     21.19     0.061     261.0      9.49     43.21
	      4.020      58.5     21.32     0.061     264.3      9.43     43.52
	      4.040      59.0     21.46     0.062     267.7      9.38     43.83
	      4.060      59.4     21.59     0.062     271.1      9.33     44.14
	      4.080      59.8     21.73     0.063     274.5      9.28     44.45
	      4.100      60.2     21.87     0.063     278.0      9.23     44.77
	      4.120      60.7     22.01     0.063     281.5      9.18     45.08
	      4.140      61.1     22.14     0.064     285.0      9.13     45.39
	      4.160      61.5     22.28     0.064     288.6      9.08     45.71
	      4.180      62.0     22.42     0.065     292.1      9.03     46.03
	      4.200      62.4     22.56     0.065     295.7      8.98     46.34
	      4.220      62.9     22.70     0.065     299.4      8.93     46.66
	      4.240      63.3     22.83     0.066     303.0      8.88     46.98
	      4.260      63.8     22.97     0.066     306.7      8.84     47.31
	      4.280      64.2     23.11     0.067     310.4      8.79     47.63
	      4.300      64.7     23.25     0.067     314.2      8.75     47.95
	      4.320      65.2     23.39     0.067     317.9      8.70     48.28
	      4.340      65.6     23.53     0.068     321.7      8.66     48.61
	      4.360      66.1     23.67     0.068     325.5      8.61     48.93
	      4.380      66.6     23.81     0.069     329.4      8.57     49.26
	      4.400      67.0     23.95     0.069     333.3      8.53     49.59
	      4.420      67.5     24.09     0.069     337.2      8.48     49.93
	      4.440      68.0     24.23     0.070     341.1      8.44     50.26
	      4.460      68.5     24.37     0.070     345.1      8.40     50.59
	      4.480      69.0     24.51     0.071     349.1      8.36     50.93
	      4.500      69.4     24.66     0.071     353.1      8.32     51.27
	      4.520      69.9     24.80     0.071     357.2      8.28     51.60
	      4.540      70.4     24.94     0.072     361.3      8.24     51.94
	      4.560      70.9     25.08     0.072     365.4      8.20     52.28
	      4.580      71.4     25.22     0.073     369.5      8.16     52.63
	      4.600      71.9     25.37     0.073     373.7      8.12     52.97
	      4.620      72.4     25.51     0.073     377.9      8.08     53.31
	      4.640      72.9     25.65     0.074     382.2      8.04     53.66
	      4.660      73.4     25.80     0.074     386.4      8.01     54.00
	      4.680      74.0     25.94     0.075     390.7      7.97     54.35
	      4.700      74.5     26.08     0.075     395.0      7.93     54.70
	      4.720      75.0     26.23     0.076     399.4      7.90     55.05
	      4.740      75.5     26.37     0.076     403.8      7.86     55.40
	      4.760      76.0     26.52     0.076     408.2      7.83     55.75
	      4.780      76.6     26.66     0.077     412.6      7.79     56.11
	      4.800      77.1     26.81     0.077     417.1      7.76     56.46
	      4.820      77.6     26.95     0.078     421.6      7.72     56.82
	      4.840      78.2     27.10     0.078     426.2      7.69     57.18
	      4.860      78.7     27.24     0.078     430.7      7.65     57.54
	      4.880      79.3     27.39     0.079     435.3      7.62     57.90
	      4.900      79.8     27.53     0.079     440.0      7.59     58.26
	      4.920      80.3     27.68     0.080     444.6      7.55     58.62
	      4.940      80.9     27.83     0.080     449.3      7.52     58.98
	      4.960      81.5     27.97     0.081     454.0      7.49     59.35
	      4.980      82.0     28.12     0.081     458.8      7.46     59.72
	      5.000      82.6     28.27     0.081     463.6      7.43     60.09
	      5.020      83.1     28.41     0.082     468.4      7.40     60.46
	      5.040      83.7     28.56     0.082     473.3      7.36     60.83
	      5.060      84.3     28.71     0.083     478.1      7.33     61.20
	      5.080      84.8     28.86     0.083     483.0      7.30     61.57
	      5.100      85.4     29.01     0.084     488.0      7.27     61.95
	      5.120      86.0     29.15     0.084     493.0      7.24     62.33
	      5.140      86.6     29.30     0.084     498.0      7.21     62.70
	      5.160      87.2     29.45     0.085     503.0      7.19     63.08
	      5.180      87.7     29.60     0.085     508.1      7.16     63.47
	      5.200      88.3     29.75     0.086     513.2      7.13     63.85
	      5.220      88.9     29.90     0.086     518.4      7.10     64.23
	      5.240      89.5     30.05     0.087     523.5      7.07     64.62
	      5.260      90.1     30.20     0.087     528.8      7.04     65.01
	      5.280      90.7     30.35     0.087     534.0      7.02     65.40
